Q1,Q2,A1,Q3,Q4,Midterm,Q5,A2,Q6,Q7,Q8,Final,Total
2.45,1.982142857142857,2.0,1.8375,1.05,29.75,2.0416666666666665,2.0,0.90234375,1.1484375,1.96875,29.67,77.0
2.5375,1.4464285714285712,2.0,1.8375,1.05,14.88,1.4,2.0,1.1484375,0.984375,1.771875,17.67,49.0
2.1,1.2589285714285714,2.0,1.44375,0.875,18.81,0.8166666666666667,2.0,1.1484375,0.65625,1.8375,23.33,56.99999999999999
2.275,1.5535714285714286,2.0,1.9249999999999998,1.4,17.06,0.9333333333333333,1.9,0.0,1.09375,1.3125,18.67,51.0
2.275,1.6071428571428572,2.0,2.275,0.7,17.5,1.225,2.0,1.55859375,0.765625,1.640625,25.67,60.0
1.9249999999999998,1.6339285714285714,2.0,1.8375,0.35,23.19,0.9916666666666667,2.0,0.0,0.546875,1.575,28.33,65.0
1.9249999999999998,1.6071428571428572,2.0,2.5375,0.35,13.56,1.4291666666666665,2.0,0.0,1.09375,1.575,29.33,57.99999999999999
1.9249999999999998,1.6071428571428572,0.0,0.875,0.175,8.31,1.05,1.4,0.90234375,0.65625,1.246875,22.0,41.0
1.9249999999999998,1.6071428571428572,2.0,0.9624999999999999,0.0,10.94,0.8166666666666667,2.0,1.3125,0.546875,2.0343750000000003,24.33,49.0
2.45,1.2321428571428572,2.0,1.9249999999999998,1.05,20.13,1.4583333333333335,1.8,1.39453125,0.0,2.428125,24.33,61.0
2.1875,1.5,2.0,1.6187500000000001,0.0,10.06,0.4666666666666667,2.0,1.3125,0.984375,0.984375,16.67,40.0
1.9249999999999998,0.9642857142857143,2.0,1.1375,0.0,9.19,1.3708333333333333,2.0,0.8203125,0.4375,0.91875,17.0,38.0
1.9249999999999998,1.6071428571428572,2.0,1.44375,0.525,17.5,1.9541666666666666,2.0,4.4296875,0.0,0.984375,29.67,65.0
